pc	num_providers
80045	5485
80014	2636
80304	2066
80111	2018
80204	1897
80033	1881
80220	1875
80205	1870
80112	1810
80525	1789
80218	1779
81501	1637
80631	1516
80909	1514
80222	1465
80206	1411
80524	1391
80026	1378
80918	1376
80210	1352
80906	1347
80012	1341
80501	1315
80920	1283
80907	1246
80260	1235
80120	1219
80113	1193
80124	1154
80910	1073
80231	1052
80301	1045
81301	1041
80634	1038
80538	1024
80228	1006
80903	955
80226	943
80401	943
81004	916
80913	900
80122	892
80027	880
80211	878
80134	874
81003	866
80011	838
80246	830
80303	821
80234	792
80020	740
81401	715
80209	661
80123	660
80526	648
81101	643
80203	630
81212	627
80015	626
81001	616
80031	590
81008	588
80229	587
80302	585
80537	570
81601	570
80129	564
80215	557
80003	550
80528	545
81506	545
80247	537
80127	529
80601	529
80917	519
80021	517
80138	509
80919	496
80016	488
80110	472
80104	458
80905	451
80224	432
80230	417
80227	408
80751	407
80521	401
80487	400
80214	392
80439	388
81505	372
80023	370
80202	366
80443	357
80904	356
80010	353
80002	348
80233	348
80923	346
80237	344
81321	343
80701	336
80126	324
80305	322
80503	318
80238	317
80013	313
80212	308
80219	294
81611	293
80840	293
80004	290
80550	286
80403	286
81416	283
80132	282
81050	280
80022	271
81303	270
81005	268
81201	267
80504	253
81657	252
80207	246
80108	244
80128	234
80221	234
81650	225
80921	224
80232	223
81230	213
80922	212
80121	208
80005	208
80863	207
81632	202
81625	198
81007	195
81147	191
81082	189
80239	187
80109	186
80914	183
80235	178
80241	176
81052	176
80223	173
80831	166
80262	164
80516	163
81521	160
80517	159
80130	158
80216	156
80236	153
81623	151
81504	150
80433	149
80523	149
80915	146
80817	146
80030	146
80017	145
80602	142
81631	137
81620	133
81621	130
80249	130
80534	119
80107	116
80620	115
80424	112
80621	108
80309	108
81435	106
80924	104
80911	100
80916	98
81211	95
80461	94
80807	93
81089	85
80723	84
80465	76
80007	72
80908	71
80513	69
80828	67
80446	66
81122	65
81006	64
80758	63
80435	62
80125	62
81144	59
81224	58
80549	57
81507	57
81137	56
80208	55
81641	54
80498	53
81132	53
80440	52
80759	49
80477	49
81067	48
81425	48
81503	47
80136	44
81432	44
80540	43
81328	43
80734	43
80639	41
81648	40
81140	40
80018	40
80829	40
80421	40
80615	38
81413	37
81054	37
81428	36
81252	36
81226	35
81520	35
80814	34
81635	33
81423	32
80737	32
80452	30
80466	30
80925	30
81647	30
80821	29
80482	29
80720	29
81073	28
80116	28
80442	28
80459	28
80133	28
81403	27
80530	26
81323	25
80514	24
80118	24
80640	24
81419	23
80813	22
81063	22
80137	21
81019	21
80731	21
81427	21
80810	20
80603	19
81240	19
80542	19
80808	19
81637	19
80422	18
81334	18
80547	17
80102	17
80135	17
81324	16
81526	15
81036	15
81047	14
80951	14
80645	13
81652	13
81152	13
81090	13
80256	12
81235	12
80106	12
80467	12
81424	12
80866	11
80819	11
81639	11
80470	11
80543	11
81130	11
80809	11
80816	11
81615	11
80651	11
80480	11
80117	11
80291	10
80815	10
80643	10
80451	10
81418	10
80103	10
81624	10
80536	10
81131	10
80217	10
81120	10
81055	10
81433	9
80265	9
80912	9
80927	9
81039	8
81125	8
80544	8
80642	8
80535	8
80488	8
80902	8
80019	8
80520	7
80610	7
81092	7
80835	7
81069	6
80293	6
80454	6
80826	6
81149	6
80512	6
81143	5
81225	5
81524	5
80510	5
80545	5
81415	5
81645	5
81326	5
81527	5
81154	5
80654	5
81038	5
80644	4
81422	4
80444	4
80926	4
81630	4
81502	4
80836	4
80151	4
80481	4
80264	3
81332	3
81023	3
81640	3
80447	3
81327	3
80478	3
81231	3
80428	3
80474	3
80735	3
81654	3
80273	3
81223	3
80250	3
80165	3
81022	3
81658	2
81151	2
81233	2
81522	2
81215	2
80532	2
80623	2
80820	2
80527	2
80105	2
81429	2
81025	2
80825	2
80933	2
81302	2
81253	2
80457	2
80263	2
81034	2
81058	2
80864	2
80928	2
80266	2
80160	2
81242	2
81402	2
81041	2
80448	1
95661	1
80823	1
81044	1
90122	1
6033	1
80145	1
81071	1
80417	1
80741	1
92336	1
80653	1
87301	1
89215	1
95127	1
6516	1
80131	1
80612	1
81410	1
81525	1
90034	1
90634	1
8206	1
80497	1
90003	1
14905	1
92369	1
80456	1
80743	1
80648	1
80225	1
81430	1
90505	1
81612	1
6810	1
80436	1
80370	1
90433	1
80960	1
81290	1
80101	1
80308	1
80725	1
92843	1
80282	1
80060	1
95249	1
88137	1
80261	1
81102	1
45140	1
80822	1
43017	1
80936	1
55378	1
80310	1
90813	1
81222	1
80471	1
80624	1
80728	1
81291	1
90488	1
80038	1
80425	1
92307	1
80483	1
81076	1
80001	1
81141	1
80307	1
81656	1
80042	1
80833	1
80115	1
80860	1
80025	1
80458	1
81918	1
91501	1
81330	1
81057	1
80533	1
80248	1
6108	1
2215	1
80333	1
80449	1
80114	1
80930	1
95965	1
80455	1
81603	1
80824	1
81133	1
90640	1
80046	1
80337	1
80721	1
90033	1
81146	1
92807	1
80742	1
6032	1
80437	1
80438	1
91625	1
80626	1
80522	1
81049	1
81643	1
80515	1
80950	1
80929	1
6042	1
81220	1
80407	1
80827	1
81325	1
81655	1
81123	1
